condition,layer,max_eigenvalue,l2_norm_sq,adaptive_sharpness
theta0,layer1.0,0.4507356286048889,30.659924787014564,13.819520471853624
theta0,layer4.3,0.3698737323284149,103.30509967664254,38.209842785958706
theta45,layer1.0,0.5796847939491272,30.56613753905391,17.718725141147146
theta45,layer4.3,0.413675993680954,77.02634275693208,31.86394887958363
